customer_id,country,age_range,signup_date,signup_year,age_category
1,France,56-65,2025-04-24,2025,Senior
2,France,36-45,2025-02-24,2025,Adult
3,Netherlands,46-55,2024-04-12,2024,Middle Aged
4,Italy,36-45,2025-03-11,2025,Adult
5,Spain,26-35,2025-04-26,2025,Youth
6,Spain,46-55,2024-12-14,2024,Middle Aged
7,France,46-55,2024-09-27,2024,Middle Aged
8,Netherlands,46-55,2024-04-16,2024,Middle Aged
9,Spain,46-55,2025-03-07,2025,Middle Aged
10,Germany,16-25,2024-03-12,2024,Young Adult
11,France,16-25,2024-07-07,2024,Young Adult
12,Germany,46-55,2025-06-11,2025,Middle Aged
13,Netherlands,56-65,2024-01-21,2024,Senior
14,Germany,46-55,2025-03-08,2025,Middle Aged
15,Netherlands,26-35,2025-04-05,2025,Youth
16,Germany,26-35,2025-04-05,2025,Youth
17,France,26-35,2025-04-17,2025,Youth
18,France,36-45,2025-03-03,2025,Adult
19,Germany,56-65,2025-02-14,2025,Senior
20,France,26-35,2025-04-20,2025,Youth
21,France,56-65,2025-03-31,2025,Senior
22,Germany,36-45,2025-03-03,2025,Adult
23,France,56-65,2025-02-09,2025,Senior
24,Spain,56-65,2024-04-12,2024,Senior
25,Italy,36-45,2025-03-24,2025,Adult
26,Netherlands,46-55,2024-05-01,2024,Middle Aged
27,Italy,16-25,2025-03-11,2025,Young Adult
28,Spain,16-25,2025-04-02,2025,Young Adult
29,Spain,56-65,2025-03-27,2025,Senior
30,Germany,26-35,2024-08-02,2024,Youth
31,France,46-55,2024-11-26,2024,Middle Aged
32,Netherlands,16-25,2024-03-28,2024,Young Adult
33,Italy,56-65,2025-02-26,2025,Senior
34,France,56-65,2025-01-07,2025,Senior
35,France,26-35,2025-04-28,2025,Youth
36,France,26-35,2025-03-12,2025,Youth
37,Netherlands,46-55,2025-03-02,2025,Middle Aged
38,Spain,26-35,2025-06-03,2025,Youth
39,France,36-45,2025-04-05,2025,Adult
40,Spain,56-65,2024-04-09,2024,Senior
41,Germany,36-45,2025-04-06,2025,Adult
42,Spain,46-55,2025-04-19,2025,Middle Aged
43,Germany,56-65,2025-04-07,2025,Senior
44,Germany,26-35,2024-12-25,2024,Youth
45,Italy,46-55,2024-05-31,2024,Middle Aged
